accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
0,7/20/2024,3:25,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was traveling west on 16th Street in the left travel lane, slowing as it approached the intersection with Utah Street in San Francisco. The Zoox vehicle operator disengaged from autonomy and braked further for stopped traffic ahead in the same travel lane. At that time, a Tesla sedan (Vehicle 2) traveling directly behind the Zoox vehicle abruptly attempted a lane change maneuver into the adjacent lane on the right,  side-swiping a BMW sedan (Vehicle 3) that was also westbound on 16th Street in the right lane. Vehicle 2, after making contact with Vehicle 3, veered back to the left lane behind the Zoox vehicle and rear ended the stopped Zoox vehicle. The Zoox vehicle sustained minor damage, while Vehicle 2 and Vehicle 3 appeared to have sustained moderate damage. There were no reported injuries and the police were not called.",No,Toyota,Highlander,2019,No,,Tesla Model 3,2018,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,vehicle_2_model at fault
1,7/20/2024,3:25,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was traveling west on 16th Street in the left travel lane, slowing as it approached the intersection with Utah Street in San Francisco. The Zoox vehicle the operator disengaged from autonomy and braked further for stopped traffic ahead in the same travel lane. At that time, a Tesla sedan (Vehicle 2) traveling directly behind the Zoox vehicle abruptly attempted a lane change maneuver into the adjacent lane on the right,  side-swiping a BMW sedan (Vehicle 3) that was also westbound on 16th Street in the right lane. Vehicle 2, after making contact with Vehicle 3, veered back to the left lane behind the Zoox vehicle and rear ended the stopped Zoox vehicle. The Zoox vehicle sustained minor damage, while Vehicle 2 and Vehicle 3 appeared to have sustained moderate damage. There were no reported injuries and the police were not called.",No,Toyota,Highlander,2019,No,,BMW 430 (Vehicle 3),2019,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,vehicle_2_model at fault
2,7/20/2024,11:07,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1), was completing a mission traveling southwest on Division Street in San Francisco. As the vehicle was completing its mission and slowed to a near stop, the Zoox vehicle operator identified an oncoming bicycle, disengaged from autonomy, and braked the Zoox vehicle to a full stop in its lane. The bicyclist crossed into the oncoming traffic lane occupied by the Zoox vehicle and continued rapidly while steering directly towards the front of the Zoox vehicle. The bicycle made contact with the front bumper of the stationary Zoox vehicle and the bicyclist made contact with the hood of the Zoox vehicle and fell to the ground. The police and emergency responders arrived at the scene and the bicyclist was transported to a hospital. Preliminary police information describes injuries to the bicyclist as “loss of consciousness, complaint of pain to back, knee, and toe nail”. ",No,Toyota,Highlander,2019,No,,Raleigh Bicycle,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Bicyclist
3,7/19/2024,1:26,AM,"Mountain View, Santa Clara county","On July 19, 2024 at 1:26 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Mountain View, California was in a collision involving a curb in a parking lot near 65 Alta Avenue.The Waymo AV was traveling through a parking lot when it drove over a curb and the bottom of the Waymo AV made contact with the curb. At the time of the contact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.",No,Jaguar,I-Pace,2021,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,"right_rear_passenger_2, right_rear_passenger_4, front_passenger_side_2, front_passenger_side_4",UNK,Autonomous Vehicle Human Driver
4,7/18/2024,5:41,AM,"San Francisco, San Francisco","On July 18, 2024 at 5:41 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Bush Street at Market Street. 

The Waymo AV was stopped facing a green traffic light on southeastbound Bush Street at the intersection with Market Street to yield to a traffic control officer who was directing traffic in the crosswalk. While the Waymo AV remained stopped and the traffic light turned yellow, an SUV that had been stopped behind the Waymo AV approached the Waymo AV and made contact with the rear of the Waymo AV. When the traffic light ahead of the Waymo AV turned green and the Waymo AV remained stopped, the SUV reversed briefly and then changed lanes into the left adjacent lane to maneuver around the Waymo AV, making contact with the rear driver side corner of the Waymo AV. At the time of the impacts, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the SUV left the scene.
",Yes,Jaguar,I-Pace,2024,No,,Honda CR-V LX,2006,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",MINOR,vehicle_2_model at fault
5,7/16/2024,5:29,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomous mode was stopped at a stop sign waiting for traffic to clear to make a left turn from northeast bound King Street onto 7th Street in San Francisco. A passenger car (Vehicle 2) was stopped  directly behind the Zoox vehicle apparently in the process of turning right onto 7th Street. As the Zoox vehicle advanced and then came to a stop as it yielded to cross traffic, the passenger car tried to pass the Zoox vehicle on the right side and contacted the Zoox vehicle. The front bumper on the passenger car and rear bumper on the Zoox vehicle sustained minor damage. There were no reported injuries and the police were not called.",Yes,Toyota,Highlander,2019,No,,Honda Civic,2017,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,vehicle_2_model at fault
6,7/11/2024,10:59,AM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1), operating in manual mode, was traveling north on Bryant Street toward 16th Street in San Francisco. The Zoox vehicle was stopped behind traffic for a red traffic signal. After a few seconds, just as the traffic signal turned green and before the Zoox vehicle started to move, it was rear ended by a rapidly approaching passenger car (Vehicle 2). The Zoox vehicle sustained minor damage and the police were not called. There were no reported injuries.",No,Toyota,Highlander,2017,No,,Toyota Prius,2010,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR,vehicle_2_model at fault
7,7/6/2024,12:59,PM,"San Francisco, San Francisco",,Yes,Jaguar,I-Pace,2021,No,,Trek Hybrid Bicycle,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,
8,7/2/2024,3:09,AM,"Los Angeles, Los Angeles","On July 2, 2024 at 3:09 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a pickup truck on Sycamore Avenue near W. Pico Boulevard. The Waymo AV was traveling northbound on Sycamore Avenue when it came to a stop to yield to an oncoming pickup truck in a narrow roadway with parked vehicles on both sides of the street. As the oncoming pickup truck passed the stopped Waymo AV, the front driver’s side of the pickup truck made contact with the driver’s side rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the pickup truck left the scene.",Yes,Jaguar,I-Pace,2024,No,,,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_2,MINOR,vehicle_2_model at fault
9,6/21/2024,3:51,AM,"Santa Clara, Santa Clara","At 3:51pm, a WeRide vehicle (Car1) was attempting to make a u-turn at 6 mph on Northwestern parkway. During the u-turn maneuver, a white chevy cruze (Car 2) traveling at 23 mph, having just made a right turn off of Walsh Ave., approached from behind on northwestern parkway. Car 2 steered left just before the impact but still clipped the front left side bumper of Car 1 with its (car2's) right side. The damage sustained to Car 1 was on the front bumper, left side, and the damage sustained to Car 2 was on the right passenger's door. Both parties pulled over to exchange information. The other party vehicle owner (of car2), Sagardeep Singh. was not driving the vehicle but was seated in the front passenger seat and Gurdeep Singh was driving the vehicle at the time of accident.
There were no injuries reported and no emergency responders were called.",No,Nissan ,Leaf,2019,Yes,,Cheverolet/Cruze,2014,Yes,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,"left_front_corner_1, left_front_corner_3",UNK,Autonomous Vehicle
10,6/11/2024,12:07,PM,"Santa Monica, Los Angeles","On June 11, 2024 at 12:07 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving an SUV on Maple Street near 10th Street. The Waymo AV was maneuvering out of a curbside parallel parking space at the curb on the south side of Maple Street when the passenger side front corner of the Waymo AV made contact with the driver side back corner of an SUV parked in front of the AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2024,Yes,,Toyota Highlander,2014,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,right_front_corner_3,MINOR,Shared Fault
11,6/10/2024,10:33,AM,"San Jose, Santa Clara","At approximately 10:33am, a WeRide vehicle (car 1) was stopped at a red traffic light on E San Carlos st. about to turn right on S 4th St. At this time a Toyota RAV4 (car 2) approached from behind traveling at a speed of (>10mph) and slammed into car 1's rear - causing damages to car 1. Car 1 sustained damages on rear bumper and rear sensors. Both parties pulled over to a safe location to exchange information. Car 2's driver didn't have an up-to-date registration card for the vehicle.",Yes,Nissan,Leaf,2023,No,,Toyota RAV4,2020,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,rear_bumper,MINOR,vehicle_2_model at fault
12,6/5/2024,1:12,AM,"San Francisco, San Francisco","On June 5, 2024 at 1:12 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 29th Avenue near Lawton Street.The Waymo AV was parked at the curb on the right side of 29th Avenue when a passenger car in front of the Waymo AV began to reverse to parallel park. The passenger car’s rear driver side corner made contact with the front driver side corner of the parked Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Honda Accord LX,2002,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_front_corner_3,MINOR,
13,6/4/2024,6:26,AM,"San Francisco, San Francisco","On June 4, 2024 at 6:26 PM PT  a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Lombard Street at Fillmore Street. The Waymo AV was stopped in traffic for a red light on eastbound Lombard Street when an SUV traveling at a high rate of speed changed lanes and approached the Waymo AV from behind. The front of the SUV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Toyota RAV4 Hybrid LE,2021,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",UNK,
