accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Unnamed: 22,ground_truth
0,9/16/2019,10:00,AM,"Mountain View, Santa Clara","On 09/16/2019 at approximately 9:55 AM, an  Aimotive autonomous test vehicle was being driven manually southbound, on US Free way 101, between Old Middlefield Rd. and Shoreline Blvd. The car was in the rightmost lane, which splits off into an exit lane for Shoreline Blvd. Traffic in front of the autonomous test vehicle had slowed down to a stop to take this exit, causing this lane to be backed up. The driver of the autonomous vehicle applied normal braking force to come to a stop. Shortly thereafter, the autonomous test vehicle was rear-ended by a Honda -CRV. No major bodily injuries were reported from either party in the crash. Damage to the autonomous vehicle was minor;  the car had small scratches. The Honda -CRV's driver airbag was deployed and the front bumper of the car was partially hanging out of the car's body frame. Drivers from both parties exchanged information and took pictures of the damage. The passenger of the autonomous test vehicle contacted 911 approximately at 10:05 AM and requested a CHP officer on scene. The CHP officer arrived approximately 45 minutes after the initial call and took down a report. After both parties had exchanged information, the officer dismissed both parties. The Aimotive vehicle was driven manually back to the office.",No,Toyota,Prius,2010,No,,Honda CRV,2007,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_b_1, roadway_b_2",other_a_yes,"left_rear_1, rear_bumper, right_rear_1",MINOR,,Vehicle 2: 100%
1,9/19/2019,7:58,AM,"Sunnyvale, Santa Clara","On September 19th, 2019 at 7:58am an Apple test vehicle, which was conducting a manually driven test mission, was struck while stopped in the left turn lane preparing to exit the Sunnyvale Community Center Park onto Manet Drive. The Apple test vehicle was stopped when the Toyota Corolla, traveling at approximately 6 mph, swung wide outside of its lane while making a right turn into the Sunnyvale Community Center Park entrance from Manet Drive and struck the Apple test vehicle. Both vehicles sustained minor damage to the driver's side front bumpers. The drivers exchanged information. No injuries were reported. The police were not called. ",No,Lexus,RX 450h,2017,No,,Toyota Corolla,2019,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_front_corner_3,MINOR,,Undetermined
2,1/10/2019,2:52,AM,"San Francisco, San Francisco","On 01/10/19 at 2:52pm, an Aurora vehicle, while stopped at a red traffic light in manual mode on Townsend and 3rd, was struck in the rear bumber by a Honda CR-V approaching from behind. There was moderate damage to the Aurora vehicle's right sensor, mount, and side quarter panel. There was minimal damage to the Honda's front right bumper. Both vehicles were operational and pulled over on a side street to exchange vehicle and insurance information. No injuries were reported and no police were requested nor present at the scene.",No,Lincoln,MKZ,2017,No,,Honda CR-V,2004,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2","other_a_no, other_h_no","rear_bumper, right_rear_1, right_rear_3",UNK,,Vehicle 2: 100%
3,10/17/2019,1:05,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on southbound Hyde Street at the intersection with Sutter Street when another vehicle behind the Cruise AV attempted to change into the right adjacent lane and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear radar and assembly. There were no injuries and police were not called.",Yes,Cheverolet,Bolt,2020,No,,Prius,2010,Yes,"weather_e_1, weather_e_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,right_rear_1,MINOR,,Vehicle 2: 100%
4,10/26/2019,11:05,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southeast bound on The Embarcadero near the intersection with Battery Street when the Cruise AV yielded to another vehicle in the left adjacent lane that encroached into the Cruise AV’s lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, a second vehicle behind the Cruise AV made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s right rear bumper, fascia, signal lamp, and radar assembly. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back injuries.",No,Chevrolet,Bolt,2020,Yes,,Accord,2007,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"rear_bumper, right_rear_1",MINOR,,Vehicle 1 (AV Operator): 100%
5,10/27/2019,1:50,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) being driven in conventional mode was involved in a collision while traveling in a private parking lot on the block located between Marina Boulevard and North Point Street on the north and south boundaries and Buchanan and Laguna Streets on the west and east boundaries, respectively. While the driver of the Cruise AV reversed out of its diagonal parking spot, another vehicle simultaneously reversing out of its diagonal parking spot on the other side made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear tail lamp assembly. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,Civic,2006,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_rear_1,MINOR,,Undetermined
6,10/28/2019,2:42,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southeast bound on Howard Street near the intersection with 9th Street when a bicyclist in the right adjacent dedicated bike lane veered away from a wayward pedestrian throwing an unknown object in the bicyclist's direction in the crosswalk. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the bicyclist veered into the Cruise AV's lane and made contact with the right front passenger door of the Cruise AV. No injuries were reported at the scene by either party. Police were called but not dispatched to the scene. The bicyclist later reported injuries.",No,Chevrolet,Bolt,2020,Yes,,unk,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Vehicle 1 (AV Operator): 100%
7,10/29/2019,7:52,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound in a channelized lane on Beach Street near the intersection with The Embarcadero when it stopped at the traffic light and another vehicle behind the Cruise AV made contact with its rear bumper. There were no injuries reported at the scene by either party and police were not called. The Cruise AV test operators sitting in the driver’s seat and in the backseat later mentioned back pain.",Yes,Chevrolet,Bolt,2020,Yes,,Prius ,2010,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,,Undetermined
8,11/7/2019,8:35,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southwest bound on King Street between 2nd and 3rd Streets when the Cruise AV slowed down. Shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the right adjacent lane, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and a radar mounting bracket. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,Yes,,unk,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,,Undetermined
9,11/7/2019,9:10,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound on 24th Street at the intersection with Mission Street when the Cruise AV yielded to an electric scooterist traveling northbound on Mission Street and violating a red light. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the electric scooterist made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and brake light. The electric scooterist left the scene without exchanging information. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,unk,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",other_a_no,"right_rear_1, right_rear_3",MINOR,,Vehicle 1 (AV Operator): 100%
