accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
0,11/11/2021,5:01,AM,"Sunnyvale, Santa Clara","A test vehicle, stopped at a red light in Sunnyvale while operating in manual mode, was lightly struck on a sensor attached to the rear driver side wheel by a white minivan attempting to maneuver around the vehicle to enter a left turn lane.  The test vehicle’s sensor was not damaged.  The minivan left the scene without stopping, so any damage to the minivan is unknown.  No injuries were reported, and law enforcement was not called to the scene.",No,Lexus,RX 450h,2016,No,,Plymouth Voyager,,Yes,"weather_a_1, weather_a_2","road_conditions_d_1, road_conditions_d_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,Not specified,NONE,Not Autonomous Vehicle's fault
1,8/19/2021,9:30,AM,"San Diego, San Diego","An Apple vehicle, operating in manual mode and leaving a parking space in a San Diego retail parking lot, was struck at low speed on the right front bumper by a Hyundai Sonata reversing from the middle of the parking lot.  To try and avoid the crash, the Apple vehicle stopped prior to being struck.  Both vehicles sustained minor damage.  At the time of the incident, no injuries were reported by either party and law enforcement was not called to the scene.  ",No,Lexus,RX 450h,2016,No,,Hyundai,2016,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_1, left_front_corner_3",MINOR,Not Autonomous Vehicle's fault
2,8/23/2021,8:21,AM,"Cupertino, Santa Clara","An Apple vehicle, operating in manual mode and stopped at a stop sign in the Main Street Cupertino retail center parking lot, was struck on the left rear bumper by a diagonally-parked Subaru reversing out of a parking space at low speed.  Both vehicles sustained minor damage.  At the time of the incident, no injuries were reported by either party and law enforcement was not called to the scene.",No,Lexus,RX 450h,2016,No,,Subaru Outback,2014,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,Not Autonomous Vehicle's fault
3,12/6/2021,5:53,AM,"Sunnyvale, Santa Clara","A test vehicle operating in manual mode was traveling Southeast on El Camino Real in Sunnyvale, and had just crossed Fair Oaks Avenue when a white Lexus RX 350 vehicle pulled out of a parking lot without yielding to oncoming traffic.  The driver of the test vehicle braked but was unable to stop before making contact with the front driver’s side of the Lexus.  No injuries were reported and law enforcement was not called to the scene.",No,Lexus,RX 450h,2016,Yes,,Lexus RX 350,2015,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_3, front_bumper, right_front_corner_3",UNK,Autonomous Vehicle's Fault
4,9/27/2021,10:53,AM,"Sunnyvale, Santa Clara","A test vehicle, operating in autonomous mode in Sunnyvale and turning right from Mathilda Avenue onto Del Ray Avenue, made contact with a curb at approximately 13 miles per hour. While there was no tire or wheel damage, the contact resulted in misalignment. No other agents were involved, no injuries were reported, and law enforcement was not called to the scene.",Yes,Lexus,RX 450h,2017,Yes,,,,No,weather_b_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,"right_rear_3, right_rear_passenger_2, front_passenger_side_4",MINOR,Autonomous Vehicle's Fault
5,7/1/2021,3:19,AM,"Palo Alto, Santa Clara","An Argo AI Autonomous Vehicle (“Argo AV”) traveling southbound in manual mode on El Camino Real was involved in a collision. As the Argo AV was attempting to make a right turn from El Camino Real onto Page Mill Road, a pedestrian entered the crosswalk. Argo’s Vehicle Operator brought the vehicle to a complete stop and the vehicle directly behind the Argo AV made contact with the Argo AV’s rear bumper. The Argo AV sustained minor damage to its rear bumper. The police were not called. The evening after the incident, minor injuries were reported by the Argo Vehicle Operator located in the right seat. ",No,Ford,Fusion,2019,No,,Ford,2014,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,Not Autonomous Vehicle's fault
6,10/19/2021,2:25,AM,"Palo Alto, Santa Clara","An Argo AI Autonomous Vehicle (“Argo AV”) was involved in a rear-end collision on Grant Ave. The Argo AV came to a complete stop at the stop sign located at the intersection of Grant Ave. and El Camino Real. After the Argo AV began to initiate a right-hand turn, the Argo AV came to a stop in response to oncoming traffic. A vehicle trailing behind the Argo AV moved forward and contacted the Argo AV’s left rear bumper. The Argo AV sustained minor damage to its left rear bumper.",Yes,Ford,Escape,2020,No,,Audi,2015,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_1,MINOR,Autonomous Vehicle's Fault
7,7/8/2021,9:18,AM,"Palo Alto, Santa Clara","An Argo AI Autonomous Vehicle (""Argo AV"") traveling northeast bound on Stanford Ave was involved in a collision. The Argo AV came to a complete stop at the stop sign located at the intersection of Stanford Ave and Bowdoin Ave. When the Argo AV began to accelerate the vehicle directly behind the Argo AV made contact with the Argo AV's rear bumper. The Argo AV sustained minor damage to its rear bumper. No injuries were reported at the scene and the police were not contacted.",Yes,Ford,Fusion,2019,Yes,,Honda CR-V,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,"right_rear_1, rear_bumper",MINOR,Not Autonomous Vehicle's fault
8,5/11/2021,3:59,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (Cruise AV), operating in autonomous mode, was stopped at a stop sign at the four way intersection of Castro and 22nd Streets. A 2017 Chevy Colorado that was traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. There were minor injuries but the police were not called.",Yes,Chevrolet,Bolt,2020,No,,Colorado,2017,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",MINOR,Autonomous Vehicle's Fault
9,7/1/2021,8:21,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound 6th Street at the intersection with Harrison Street when a lane-splitting cyclist made contact with the Cruise AV’s right side mirror, damaging the mirror. The cyclist did not stop. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,No,,,,No,weather_a_1,Not specified,lighting_a_1,roadway_a_1,Not specified,front_passenger_side_4,MINOR,Not Autonomous Vehicle's fault
10,11/13/2021,4:49,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (Cruise AV), operating in supervised autonomous mode, was traveling westbound on Ocean Avenue between Lee Avenue and Harold Avenue. The Cruise AV was traveling 18.8 mph upon coming to the intersection with Lee Avenue on a green light. As the Cruise AV entered the intersection, a 2014 Audi made a prohibited left turn from the rightmost westbound lane on Ocean Ave. The Cruise AV hard braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to hard brake while steering away from the approaching vehicle but, shortly thereafter, the 2014 Audi made contact with the Cruise AV, damaging the front right of the Cruise AV and the front left bumper of the 2014 Audi. The Cruise AV was traveling 11.4 mph at the time of contact. Police were not called to the scene and no injuries were reported. ",Yes,Chevrolet,Bolt,2020,Yes,,Audi A5,2014,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"front_passenger_side_4, right_front_corner_2",MINOR,
